maximin_lfc,Bm1,Bm5,sorted_GC,sorted_Pre_GC
137,NA,NA,SLC2A5,SAR1B
138,NA,NA,SMARCA4,SERP1
139,NA,NA,HDAC7,SRM
140,NA,NA,BZW1,ZNF706
141,NA,NA,LYPLA1,SEC61B
142,NA,NA,RMDN1,GUSB
143,NA,NA,SRSF3,OSTC
144,NA,NA,RPA3,EPRS
145,NA,NA,DHX15,TMEM258
146,NA,NA,SLC25A5,LAMP2
147,NA,NA,TKT,EIF5B
148,NA,NA,FEN1,SCYL1
149,NA,NA,PSMA4,TENT5C
150,NA,NA,BRWD1,NEU1
151,NA,NA,MAP4K4,ACBD3
152,NA,NA,RUVBL1,GNL3
153,NA,NA,MYO9A,MORF4L2
154,NA,NA,TPM4,CANX
155,NA,NA,LAMTOR5,MTDH
156,NA,NA,CUL3,GOSR2
157,NA,NA,SRSF1,HAX1
158,NA,NA,SAE1,TRADD
159,NA,NA,UBR5,CLPTM1L
160,NA,NA,UBE2A,COPB2
161,NA,NA,PRPF38A,LRRC59
162,NA,NA,ODF2,STX5
163,NA,NA,RPA1,SLC30A7
164,NA,NA,CCT5,MEF2D
165,NA,NA,PSMD6,SEC13
166,NA,NA,ZFAND4,SEC61G
167,NA,NA,HSPA14,WARS
168,NA,NA,MCMBP,ATP6AP1
169,NA,NA,MBD4,UBXN4
170,NA,NA,MYO1E,RAB1A
171,NA,NA,FERMT3,ATF4
172,NA,NA,CCT2,SLC1A4
173,NA,NA,SMARCB1,GOLGB1
174,NA,NA,NCBP1,PYGB
175,NA,NA,RAD23B,TNFRSF17
176,NA,NA,HMGA1,SRP68
177,NA,NA,CKAP5,ACADVL
178,NA,NA,DCK,TFG
179,NA,NA,HNRNPD,PITRM1
180,NA,NA,ANKRD13A,SQSTM1
181,NA,NA,TXNRD1,MLEC
182,NA,NA,GMPS,GANAB
183,NA,NA,RAE1,CD79A
184,NA,NA,POLR2G,ITFG1
185,NA,NA,ARPC5,AP3D1
186,NA,NA,TMED8,PRRC1
187,NA,NA,DCAF13,PDIA3
188,NA,NA,ZNF106,GUK1
189,NA,NA,NUTF2,TPST2
190,NA,NA,MAST2,REEP5
191,NA,NA,CLTA,EMC4
192,NA,NA,SNRPB,RPL36AL
193,NA,NA,CYB5B,TM9SF3
194,NA,NA,ANP32B,SLC7A5
195,NA,NA,SNRPG,IGHG3
196,NA,NA,TACC1,IGHD
197,NA,NA,ADH5,UFM1
198,NA,NA,CUX1,BAG1
199,NA,NA,RAB11A,ST6GAL1
200,NA,NA,ARPC2,OST4
201,NA,NA,CDCA7,TXLNA
202,NA,NA,STK40,H1FX
203,NA,NA,PRDX3,MOGS
204,NA,NA,HERC4,FAM214A
205,NA,NA,ZFAND6,FTO
206,NA,NA,UBA2,TARS
207,NA,NA,HSPA4,GLG1
208,NA,NA,HNRNPAB,GBF1
209,NA,NA,RPIA,NRDC
210,NA,NA,TDP2,ITM2C
211,NA,NA,SNRNP40,ADIPOR1
212,NA,NA,TASOR2,TECR
213,NA,NA,MCM4,RAB6A
214,NA,NA,SLC25A3,ERAP1
215,NA,NA,KHDRBS1,FTSJ1
216,NA,NA,NUDT21,CALCOCO1
217,NA,NA,CAPRIN1,BET1L
218,NA,NA,MTA2,IGHG4
219,NA,NA,LSM4,VSIR
