dataset,5',heavy_classical,heavy_classical_5',light_classical,light_classical_5',light_double-light,light_double-light_5',light_multi-light,light_multi-light_5',paired_classical,paired_classical_5',paired_double-light,paired_double-light_5',paired_multi-heavy_5',paired_multi-light,paired_multi-light_5'
RA134_BLD,211,2,34,23,179,1,2,0,1,7,1015,0,35,27,0,22
RA134_SYN,510,3,7,32,67,3,3,0,0,3,66,0,0,0,0,0
RA172_SYN,317,0,7,7,19,0,0,0,0,2,93,0,2,9,0,1
RA195_SYN,390,4,24,131,135,2,2,4,0,213,310,2,7,5,3,8
RA221_SYN,382,0,10,0,51,0,0,0,0,0,150,0,3,8,0,3
